,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Daerah,Kriteria Utama,Opini BPK atas LKPD,Penetapan Perda APBD Tepat Waktu,Penggunaan e-procurement,Memenuhi/Tidak Memenuhi Kriteria Utama,Kategori Kinerja,Kesehatan Fiskal dan Pengelolaan Keuangan Daerah,Pelayanan Dasar Publik,Infrastruktur,Kesehatan,Pendidikan,Pelayanan Pemerintahan Umum,Inovasi Pelayanan Publik,Kemudahan Investasi,Penyelenggaraan Pemerintahan,Perencanaan Daerah,Sistem Akuntabilitas Kinerja Instansi Pemerintah,Kesejahteraan Masyarakat
129,Kab. Mukomuko,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,20",-,"59,60","57,80","71,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,11"
130,Kab. Lebong,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,34",-,"45,33","68,36","83,62",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,87"
131,Kab. Kepahiang,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"47,50",-,"66,36","80,95","87,98",-,Tidak,Tidak,Tidak,Tidak,Tidak,"78,37"
132,Kab. Bengkulu Tengah,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"46,42",-,"72,55","86,22","70,20",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,63"
133,Provinsi  Lampung,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,63",-,"57,44","55,37","37,53",-,Tidak,Tidak,Tidak,Tidak,Tidak,"50,50"
134,Kab. Lampung Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,86",-,"58,56","55,80","68,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,19"
135,Kab. Lampung Selatan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"64,59",-,"71,88","55,98","68,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,13"
136,Kab. Lampung Tengah,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"44,48",-,"54,57","70,40","60,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,27"
137,Kab. Lampung Utara,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"63,38",-,"64,70","76,20","62,02",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,10"
138,Kab. Lampung Timur,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,48",-,"58,05","71,51","67,16",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,17"
139,Kab. Tanggamus,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"43,68",-,"58,41","65,51","56,35",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,31"
140,Kab. Tulang Bawang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,78",-,"75,40","59,31","76,88",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,34"
141,Kab. Way Kanan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"65,04",-,"50,76","50,19","65,59",-,Tidak,Tidak,Tidak,Tidak,Tidak,"54,10"
142,Kota Bandar Lampung,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,34",-,"63,19","55,23","51,48",-,Tidak,Tidak,Tidak,Tidak,Tidak,"61,28"
143,Kota Metro,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,20",-,"87,86","72,75","63,14",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,15"
144,Kab. Pesawaran,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"61,70",-,"61,67","65,29","61,02",-,Tidak,Tidak,Tidak,Tidak,Tidak,"76,49"
145,Kab. Pringsewu,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,65",-,"68,97","75,52","59,20",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,39"
146,Kab. Mesuji,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,50",-,"79,10","63,33","70,95",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,41"
147,Kab. Tulang Bawang Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,95",-,"52,49","75,62","78,50",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,30"
148,Kab. Pesisir Barat,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"65,10",-,"67,92","74,99","78,91",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,92"
149,Provinsi DKI Jakarta,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"73,70",-,"45,83","78,73","72,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,"81,25"
150,Provinsi Jawa Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"64,57",-,"63,34","57,39","55,91",-,Tidak,Tidak,ya,Tidak,Tidak,"71,18"
151,Kab. Bandung,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,21",-,"60,24","67,91","71,96",-,Tidak,Tidak,Tidak,Tidak,Tidak,"79,12"
152,Kab. Bekasi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"44,92",-,"73,57","60,48","77,77",-,Tidak,Tidak,Tidak,Tidak,Tidak,"81,20"
153,Kab. Bogor,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,63",-,"62,95","60,83","79,11",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,85"
154,Kab. Ciamis,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,85",-,"53,55","70,31","72,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,"65,15"
155,Kab. Cianjur,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,73",-,"63,38","76,44","58,34",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,05"
156,Kab. Cirebon,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,57",-,"74,52","73,89","72,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"80,17"
157,Kab. Garut,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,86",-,"57,31","73,91","63,47",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,36"
158,Kab. Indramayu,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"66,64",-,"63,08","74,96","61,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,53"
159,Kab. Karawang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"51,07",-,"74,94","61,37","59,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,32"
160,Kab. Kuningan,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,88",-,"58,22","56,36","55,93",-,Tidak,Tidak,ya,Tidak,Tidak,"61,72"
161,Kab. Majalengka,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"47,04",-,"78,33","77,05","64,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,63"
162,Kab. Purwakarta,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"43,91",-,"64,94","67,71","68,38",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,12"
163,Kab. Subang,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,57",-,"48,15","72,35","68,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,53"
164,Kab. Sukabumi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,22",-,"47,34","60,09","77,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,"82,57"
165,Kab. Sumedang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"41,89",-,"71,50","58,24","62,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,60"
166,Kab. Tasikmalaya,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,88",-,"63,22","70,71","69,67",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,57"
167,Kota Bandung,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"59,62",-,"62,49","68,48","62,22",-,Tidak,Tidak,ya,Tidak,Tidak,"72,77"
168,Kota Bekasi,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"68,48",-,"68,38","68,43","65,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,78"
169,Kota Bogor,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"67,55",-,"57,72","64,23","55,75",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,97"
170,Kota Cirebon,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,28",-,"87,81","70,48","52,52",-,Tidak,Tidak,Tidak,Tidak,Tidak,"66,21"
171,Kota Depok,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"68,34",-,"79,78","71,65","70,21",-,Tidak,Tidak,ya,Tidak,Tidak,"68,09"
172,Kota Sukabumi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,11",-,"68,73","74,70","50,94",-,Tidak,Tidak,ya,Tidak,Tidak,"59,72"
173,Kota Tasikmalaya,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,03",-,"50,72","35,16","51,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,73"
174,Kota Cimahi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,74",-,"56,86","83,49","50,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,"48,57"
175,Kota Banjar,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,44",-,"48,05","68,07","56,08",-,Tidak,Tidak,ya,Tidak,Tidak,"71,50"
176,Kab. Bandung Barat,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,26",-,"81,44","54,73","59,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,55"
177,Kab. Pangandaran,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"44,16",-,"64,29","75,04","56,11",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,90"
178,Provinsi Jawa Tengah,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"64,75",-,"72,74","70,49","53,13",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,49"
179,Kab. Banjarnegara,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,62",-,"69,95","73,10","57,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,58"
180,Kab. Banyumas,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"46,59",-,"67,03","70,30","71,03",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,19"
181,Kab. Batang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"51,55",-,"59,95","69,78","71,38",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,20"
182,Kab. Blora,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"69,60",-,"67,96","69,85","63,05",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,22"
183,Kab. Boyolali,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"45,89",-,"63,91","70,06","60,54",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,69"
184,Kab. Brebes,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,83",-,"79,51","78,45","75,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,47"
185,Kab. Cilacap,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,12",-,"55,95","77,17","74,10",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,40"
186,Kab. Demak,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"63,91",-,"76,95","67,63","49,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,59"
187,Kab. Grobogan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,94",-,"71,29","61,87","65,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,94"
188,Kab. Jepara,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,06",-,"55,52","61,64","53,13",-,Tidak,Tidak,Tidak,Tidak,Tidak,"59,75"
189,Kab. Karanganyar,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"64,09",-,"86,97","68,02","69,43",-,Tidak,Tidak,ya,Tidak,Tidak,"65,68"
190,Kab. Kebumen,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"62,35",-,"64,82","72,43","51,96",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,29"
191,Kab. Kendal,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"46,68",-,"79,10","90,03","64,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,18"
192,Kab. Klaten,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"43,45",-,"70,57","69,30","73,33",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,12"
193,Kab. Kudus,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,57",-,"73,73","63,77","62,22",-,Tidak,Tidak,ya,Tidak,Tidak,"61,36"
194,Kab. Magelang,-,WTP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,82",-,"65,68","89,96","64,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,91"
195,Kab. Pati,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"56,16",-,"68,16","94,68","64,17",-,Tidak,Tidak,ya,Tidak,Tidak,"69,78"
196,Kab. Pekalongan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,07",-,"50,82","65,75","59,88",-,Tidak,Tidak,Tidak,Tidak,Tidak,"49,71"
197,Kab. Pemalang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"52,93",-,"71,41","59,67","57,82",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,15"
198,Kab. Purbalingga,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,62",-,"80,56","59,60","55,42",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,83"
199,Kab. Purworejo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"49,02",-,"50,77","80,64","53,77",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,95"
200,Kab. Rembang,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"50,15",-,"74,60","84,41","57,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,"65,59"
201,Kab. Semarang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"63,61",-,"57,37","60,94","57,87",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,17"
202,Kab. Sragen,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,71",-,"58,10","79,05","51,56",-,Tidak,Tidak,Tidak,Tidak,Tidak,"63,02"
203,Kab. Sukoharjo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,88",-,"69,89","76,26","87,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,74"
204,Kab. Tegal,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"65,78",-,"80,03","61,94","62,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,25"
205,Kab. Temanggung,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"67,46",-,"53,04","86,62","63,75",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,92"
206,Kab. Wonogiri,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,95",-,"76,95","65,53","65,88",-,Tidak,Tidak,Tidak,Tidak,Tidak,"49,82"
207,Kab. Wonosobo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"49,57",-,"49,20","60,61","61,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,60"
208,Kota Magelang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,46",-,"60,92","83,81","57,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,21"
209,Kota Pekalongan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"65,02",-,"56,81","71,72","37,29",-,Tidak,Tidak,Tidak,Tidak,Tidak,"61,51"
210,Kota Salatiga,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"72,01",-,"85,10","95,65","36,01",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,87"
211,Kota Semarang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,75",-,"87,05","61,56","83,01",-,Tidak,Tidak,Tidak,Tidak,Tidak,"79,59"
212,Kota Surakarta,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,84",-,"70,40","70,97","65,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,"60,09"
213,Kota Tegal,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"64,15",-,"78,81","73,49","38,10",-,Tidak,Tidak,Tidak,Tidak,Tidak,"55,20"
214,Provinsi DI Yogyakarta,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"64,98",-,"61,64","55,95","84,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,"88,91"
215,Kab. Bantul,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"44,29",-,"57,59","78,76","60,23",-,Tidak,Tidak,ya,Tidak,Tidak,"72,32"
216,Kab. Gunung Kidul,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"51,51",-,"52,78","57,91","76,09",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,77"
217,Kab. Kulon Progo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"63,75",-,"63,90","64,42","88,33",-,Tidak,Tidak,Tidak,Tidak,Tidak,"85,02"
218,Kab. Sleman,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"49,04",-,"78,08","68,83","79,29",-,Tidak,Tidak,Tidak,Tidak,Tidak,"96,43"
219,Kota Yogyakarta,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,62",-,"71,58","69,34","65,28",-,Tidak,Tidak,Tidak,Tidak,Tidak,"93,47"
220,Provinsi Jawa Timur,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,93",-,"62,09","71,49","64,82",-,Tidak,Tidak,ya,Tidak,Tidak,"67,69"
221,Kab. Bangkalan,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"45,11",-,"65,92","67,34","55,11",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,23"
222,Kab. Banyuwangi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"52,23",-,"48,01","84,23","78,97",-,Tidak,Tidak,ya,Tidak,Tidak,"83,93"
223,Kab. Blitar,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,45",-,"83,76","88,64","71,35",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,74"
224,Kab. Bojonegoro,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"50,30",-,"53,30","64,50","55,71",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,28"
225,Kab. Bondowoso,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"53,61",-,"60,06","69,60","64,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"53,31"
226,Kab. Gresik,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"39,62",-,"68,10","61,71","67,14",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,83"
227,Kab. Jember,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"42,96",-,"53,86","56,16","72,01",-,Tidak,Tidak,Tidak,Tidak,Tidak,"74,17"
228,Kab. Jombang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,13",-,"71,16","85,98","62,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,"58,28"
229,Kab. Kediri,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,92",-,"65,08","66,83","79,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,79"
230,Kab. Lamongan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"66,68",-,"62,83","78,17","55,66",-,Tidak,Tidak,ya,Tidak,Tidak,"68,49"
231,Kab. Lumajang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,29",-,"73,80","64,11","49,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,90"
232,Kab. Madiun,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,94",-,"81,09","72,26","53,89",-,Tidak,Tidak,Tidak,Tidak,Tidak,"50,72"
233,Kab. Magetan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"58,13",-,"62,37","66,77","70,11",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,45"
234,Kab. Malang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"46,07",-,"52,96","61,51","83,24",-,Tidak,Tidak,Tidak,Tidak,Tidak,"69,19"
235,Kab. Mojokerto,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"46,09",-,"58,51","79,10","63,56",-,Tidak,Tidak,Tidak,Tidak,Tidak,"58,94"
236,Kab. Nganjuk,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"48,76",-,"57,74","91,72","58,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,10"
237,Kab. Ngawi,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"44,18",-,"58,02","65,61","61,71",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,90"
238,Kab. Pacitan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"67,76",-,"67,76","76,15","60,92",-,Tidak,Tidak,Tidak,Tidak,Tidak,"84,82"
239,Kab. Pamekasan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,53",-,"52,88","47,70","63,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"83,32"
240,Kab. Pasuruan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"52,55",-,"71,82","64,49","63,20",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,92"
241,Kab. Ponorogo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,45",-,"77,82","73,80","63,26",-,Tidak,Tidak,Tidak,Tidak,Tidak,"75,93"
242,Kab. Probolinggo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,74",-,"53,94","73,02","46,45",-,Tidak,Tidak,ya,Tidak,Tidak,"43,40"
243,Kab. Sampang,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"44,81",-,"71,18","52,78","68,68",-,Tidak,Tidak,Tidak,Tidak,Tidak,"76,83"
244,Kab. Sidoarjo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"45,81",-,"73,03","69,28","83,71",-,Tidak,Tidak,ya,Tidak,Tidak,"70,70"
245,Kab. Situbondo,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"48,28",-,"68,84","82,89","54,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,02"
246,Kab. Sumenep,-,WDP,Tidak Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"43,75",-,"59,81","48,87","79,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,"68,60"
247,Kab. Trenggalek,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"47,85",-,"63,94","76,41","47,42",-,Tidak,Tidak,Tidak,Tidak,Tidak,"62,04"
248,Kab. Tuban,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,74",-,"70,85","78,60","69,52",-,Tidak,Tidak,Tidak,Tidak,Tidak,"59,06"
249,Kab. Tulungagung,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"51,35",-,"60,01","66,35","59,56",-,Tidak,Tidak,Tidak,Tidak,Tidak,"78,82"
250,Kota Blitar,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,18",-,"60,54","73,35","50,45",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,22"
251,Kota Kediri,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"60,67",-,"79,69","56,18","56,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,"64,24"
252,Kota Madiun,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"40,29",-,"68,26","76,72","53,22",-,Tidak,Tidak,Tidak,Tidak,Tidak,"65,48"
253,Kota Malang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"36,79",-,"75,49","65,14","54,99",-,Tidak,Tidak,Tidak,Tidak,Tidak,"73,12"
254,Kota Mojokerto,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"74,20",-,"66,24","85,59","60,32",-,Tidak,Tidak,ya,Tidak,Tidak,"85,94"
255,Kota Pasuruan,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"57,97",-,"54,70","71,88","28,48",-,Tidak,Tidak,Tidak,Tidak,Tidak,"50,19"
256,Kota Probolinggo,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,53",-,"61,88","71,37","53,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,"59,49"
257,Kota Surabaya,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"52,65",-,"47,68","73,84","73,91",-,Tidak,Tidak,ya,Tidak,Tidak,"77,87"
258,Kota Batu,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"62,77",-,"85,01","70,46","51,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,"71,76"
259,Provinsi Kalimantan Barat,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"59,14",-,"51,35","36,76","28,08",-,Tidak,Tidak,Tidak,Tidak,Tidak,"42,42"
260,Kab. Bengkayang,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"52,40",-,"63,73","60,80","61,20",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,60"
261,Kab. Landak,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"73,42",-,"41,73","51,69","57,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,"67,39"
262,Kab. Kapuas Hulu,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"60,02",-,"62,36","66,56","49,71",-,Tidak,Tidak,Tidak,Tidak,Tidak,"49,75"
263,Kab. Ketapang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"54,86",-,"53,27","57,75","77,94",-,Tidak,Tidak,Tidak,Tidak,Tidak,"80,74"
264,Kab. Mempawah,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"75,83",-,"69,00","44,03","55,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,"58,37"
265,Kab. Sambas,-,WDP,Tepat Waktu,Menggunakan,Tidak Memenuhi,-,"58,17",-,"77,19","50,98","73,10",-,Tidak,Tidak,Tidak,Tidak,Tidak,"88,50"
266,Kab. Sanggau,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,70",-,"48,11","81,71","72,47",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,87"
267,Kab. Sintang,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"61,45",-,"53,19","59,78","54,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"56,29"
268,Kota Pontianak,-,WTP,Tepat Waktu,Menggunakan,Memenuhi,-,"55,48",-,"72,66","41,18","43,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,"49,99"
