"Daerah","Alokasi Dasar","Alokasi Afirmasi","Alokasi Formula","Total Alokasi","Jumlah Desa","Jumlah Penduduk","Jumlah Penduduk Miskin","Luas Wilayah","IKK"
"Kab. Nias Selatan","282902355000.00","7247254000.00","24961201000.00","315110810000.00","459.00","349882.00","58347.00","1815.80","106.89"
"Kab. Humbang Hasundutan","94300785000.00","0.00","11389261000.00","105690046000.00","153.00","189355.00","6879.00","2335.12","98.25"
"Kab. Serdang Bedagai","146073765000.00","472647000.00","16249471000.00","162795883000.00","237.00","609371.00","17135.00","1871.57","99.74"
"Kab. Samosir","78892160000.00","472647000.00","11588564000.00","90953371000.00","128.00","133898.00","8166.00","2031.13","107.06"
"Kab. Batu Bara","86904645000.00","2048137000.00","15325447000.00","104278229000.00","141.00","328994.00","24204.00","884.35","102.49"
"Kab. Padang Lawas","186752535000.00","1102843000.00","17113154000.00","204968532000.00","303.00","236693.00","20393.00","3926.01","106.94"
"Kab. Padang Lawas Utara","237909170000.00","157549000.00","16115429000.00","254182148000.00","386.00","257104.00","17415.00","3816.54","102.18"
"Kab. Labuhanbatu Selatan","32049940000.00","787745000.00","13273369000.00","46111054000.00","52.00","283235.00","8093.00","3463.20","95.87"
"Kab. Labuhanbatu Utara","50540290000.00","2205686000.00","14996024000.00","67742000000.00","82.00","326400.00","14167.00","3399.39","96.34"
"Kab. Nias Utara","69030640000.00","18590782000.00","24343430000.00","111964852000.00","112.00","143842.00","64447.00","1193.04","104.74"
"Kab. Nias Barat","64716225000.00","10713332000.00","17552348000.00","92981905000.00","105.00","92154.00","40680.00","473.73","105.34"
"Kota Gunungsitoli","60401810000.00","5041568000.00","12048838000.00","77492216000.00","98.00","119803.00","19548.00","275.66","99.71"
"Kab. Limapuluh Kota","48691255000.00","787745000.00","15247914000.00","64726914000.00","79.00","374067.00","12827.00","3571.14","97.86"
"Kab. Agam","50540290000.00","157549000.00","13144264000.00","63842103000.00","82.00","524906.00","8084.00","1804.30","95.13"
"Kab. Kepulauan Mentawai","26502835000.00","1417941000.00","17440422000.00","45361198000.00","43.00","83517.00","9228.00","6011.35","138.18"
"Kab. Padang Pariaman","63483535000.00","157549000.00","18166760000.00","81807844000.00","103.00","628415.00","28312.00","1332.51","93.61"
"Kab. Pasaman","22804765000.00","1575490000.00","14700752000.00","39081007000.00","37.00","315470.00","14684.00","3678.96","86.30"
"Kab. Pesisir Selatan","112174790000.00","5829313000.00","27952264000.00","145956367000.00","182.00","518265.00","54010.00","5749.89","91.23"
"Kab. Sijunjung","37597045000.00","157549000.00","11896879000.00","49651473000.00","61.00","233444.00","6276.00","3081.89","92.20"
"Kab. Solok","45609530000.00","1417941000.00","15944036000.00","62971507000.00","74.00","375801.00","15579.00","3738.00","95.46"
"Kab. Tanah Datar","46225875000.00","0.00","10573420000.00","56799295000.00","75.00","366136.00","4841.00","1336.10","90.65"
"Kota Sawahlunto","16641315000.00","0.00","6828379000.00","23469694000.00","27.00","49203.00","1272.00","226.84","95.37"
"Kota Pariaman","33898975000.00","0.00","7707588000.00","41606563000.00","55.00","69920.00","4460.00","57.87","97.58"
"Kab. Pasaman Barat","11710555000.00","157549000.00","23971375000.00","35839479000.00","19.00","428641.00","46786.00","3887.77","94.70"
"Kab. Dharmasraya","32049940000.00","0.00","11199091000.00","43249031000.00","52.00","205127.00","4402.00","2961.13","93.20"
"Kab. Solok Selatan","24037455000.00","0.00","11683946000.00","35721401000.00","39.00","177462.00","5264.00","3346.20","94.34"
"Kab. Bengkalis","83822920000.00","9610489000.00","24600566000.00","118033975000.00","136.00","339935.00","40668.00","6389.03","97.84"
"Kab. Indragiri Hilir","121419965000.00","1102843000.00","24233516000.00","146756324000.00","197.00","397141.00","19333.00","10820.44","98.14"
"Kab. Indragiri Hulu","109709410000.00","6774607000.00","23949285000.00","140433302000.00","178.00","336377.00","37136.00","6979.38","92.10"
"Kab. Kampar","149155490000.00","4096274000.00","31911229000.00","185162993000.00","242.00","686412.00","45891.00","10744.84","88.81"
"Kab. Kuantan Singingi","134363210000.00","787745000.00","17926004000.00","153076959000.00","218.00","303459.00","22060.00","5153.10","86.94"
"Kab. Pelalawan","64099880000.00","4096274000.00","21958543000.00","90154697000.00","104.00","235269.00","24550.00","8516.82","95.15"
"Kab. Rokan Hilir","97998855000.00","3150980000.00","25710990000.00","126860825000.00","159.00","506338.00","32366.00","8313.73","99.77"
"Kab. Rokan Hulu","85671955000.00","6144411000.00","28490266000.00","120306632000.00","139.00","497297.00","52423.00","7127.40","86.20"
"Kab. Siak","75194090000.00","1733039000.00","20208313000.00","97135442000.00","122.00","312640.00","16744.00","7923.25","98.89"
"Kab. Kepulauan Meranti","59169120000.00","5671764000.00","19209920000.00","84050804000.00","96.00","155222.00","32122.00","3644.07","107.90"
"Kab. Batang Hari","67797950000.00","2993431000.00","18157723000.00","88949104000.00","110.00","230407.00","22774.00","5677.23","87.12"
"Kab. Bungo","86904645000.00","0.00","12757738000.00","99662383000.00","141.00","263305.00","5370.00","4559.27","82.80"
"Kab. Kerinci","175658325000.00","0.00","13921178000.00","189579503000.00","285.00","231216.00","17855.00","3271.95","76.81"
"Kab. Merangin","126350725000.00","1733039000.00","20740049000.00","148823813000.00","205.00","273337.00","24999.00","7553.15","85.35"
"Kab. Muaro Jambi","92451750000.00","472647000.00","14571711000.00","107496108000.00","150.00","337581.00","9122.00","4827.72","85.20"
"Kab. Sarolangun","91835405000.00","3938725000.00","20869965000.00","116644095000.00","149.00","261908.00","32643.00","5788.13","87.10"
"Kab. Tanjung Jabung Barat","70263330000.00","3150980000.00","16530604000.00","89944914000.00","114.00","208188.00","22387.00","3879.56","93.61"
"Kab. Tanjung Jabung Timur","44993185000.00","1575490000.00","14556753000.00","61125428000.00","73.00","142587.00","13036.00","4552.87","94.46"
"Kab. Tebo","65948915000.00","5041568000.00","20650309000.00","91640792000.00","107.00","283040.00","28829.00","6193.20","89.73"
"Kota Sungai Penuh","40062425000.00","0.00","7208921000.00","47271346000.00","65.00","92673.00","2869.00","389.05","88.14"
"Kab. Lahat","221884200000.00","12131273000.00","35142813000.00","269158286000.00","360.00","340154.00","89704.00","5227.55","94.46"
"Kab. Musi Banyuasin","139910315000.00","8822744000.00","45779020000.00","194512079000.00","227.00","507920.00","98394.00","12427.46","98.35"
"Kab. Musi Rawas","114640170000.00","14336959000.00","37821090000.00","166798219000.00","186.00","358799.00","94888.00","6031.59","102.36"
"Kab. Muara Enim","151004525000.00","16542645000.00","40614004000.00","208161174000.00","245.00","489146.00","100163.00","7163.60","94.88"
"Kab. Ogan Komering Ilir","193532330000.00","12288822000.00","47370527000.00","253191679000.00","314.00","676318.00","84778.00","16587.03","92.74"
"Kab. Ogan Komering Ulu","88137335000.00","7877450000.00","22798635000.00","118813420000.00","143.00","256982.00","43830.00","4588.46","94.14"
"Kota Prabumulih","7396140000.00","1102843000.00","7795651000.00","16294634000.00","12.00","20969.00","6001.00","59.82","97.87"
"Kab. Banyuasin","177507360000.00","18748331000.00","57164516000.00","253420207000.00","288.00","629342.00","144595.00","11397.41","104.72"
"Kab. Ogan Ilir","139910315000.00","10398234000.00","26655771000.00","176964320000.00","227.00","358005.00","62632.00","2538.55","104.96"
"Kab. OKU Timur","187985225000.00","787745000.00","17153182000.00","205926152000.00","305.00","607817.00","15828.00","3302.56","96.59"
"Kab. OKU Selatan","155318940000.00","8034999000.00","27061195000.00","190415134000.00","252.00","366693.00","54670.00","5433.13","95.27"
"Kab. Empat Lawang","90602715000.00","2835882000.00","18785322000.00","112223919000.00","147.00","275291.00","34938.00","2194.18","100.81"
"Kab. Penukal Abab Lematang Ilir","40062425000.00","7719901000.00","17281309000.00","65063635000.00","65.00","128090.00","36158.00","1748.48","94.49"
"Kab. Musi Rawas Utara","50540290000.00","8980293000.00","23657600000.00","83178183000.00","82.00","162801.00","43418.00","5570.14","103.61"
"Kab. Bengkulu Selatan","87520990000.00","0.00","9872939000.00","97393929000.00","142.00","117772.00","9591.00","1163.87","89.64"
"Kab. Bengkulu Utara","132514175000.00","0.00","14229790000.00","146743965000.00","215.00","262920.00","11103.00","4062.96","92.02"
"Kab. Rejang Lebong","75194090000.00","5356666000.00","16978457000.00","97529213000.00","122.00","168676.00","35011.00","1487.41","94.04"
"Kab. Kaur","118338240000.00","0.00","11629185000.00","129967425000.00","192.00","120754.00","11758.00","2319.83","90.54"
"Kab. Seluma","112174790000.00","945294000.00","13583493000.00","126703577000.00","182.00","176055.00","18215.00","2215.25","92.61"
"Kab. Mukomuko","91219060000.00","315098000.00","15009891000.00","106544049000.00","148.00","166465.00","14668.00","3928.70","102.83"
"Kab. Lebong","57320085000.00","315098000.00","10720539000.00","68355722000.00","93.00","93498.00","11080.00","1478.52","94.91"
"Kab. Kepahiang","64716225000.00","0.00","10241810000.00","74958035000.00","105.00","107324.00","13469.00","626.59","90.14"
"Kab. Bengkulu Tengah","87520990000.00","0.00","10676548000.00","98197538000.00","142.00","107703.00","12482.00","1218.83","91.43"
"Kab. Lampung Barat","80741195000.00","8507646000.00","23234680000.00","112483521000.00","131.00","265978.00","53622.00","2034.95","102.89"
"Kab. Lampung Selatan","157784320000.00","11973724000.00","55761738000.00","225519782000.00","256.00","1231840.00","172146.00","682.93","83.53"
"Kab. Lampung Tengah","185519845000.00","13706763000.00","59422035000.00","258648643000.00","301.00","1373101.00","170427.00","3754.84","84.97"
"Kab. Lampung Utara","142992040000.00","24577644000.00","47911906000.00","215481590000.00","232.00","720985.00","144755.00","2637.28","86.46"
"Kab. Lampung Timur","162715080000.00","13706763000.00","57879996000.00","234301839000.00","264.00","1113976.00","165722.00","5328.27","80.49"
"Kab. Tanggamus","184287155000.00","22529507000.00","41773594000.00","248590256000.00","299.00","619684.00","117799.00","3018.83","97.47"
"Kab. Tulang Bawang","90602715000.00","10398234000.00","27009160000.00","128010109000.00","147.00","390239.00","63666.00","3190.04","92.85"
"Kab. Way Kanan","136212245000.00","5041568000.00","23625980000.00","164879793000.00","221.00","455665.00","44497.00","3944.89","94.34"
"Kab. Pesawaran","88753680000.00","10713332000.00","34668676000.00","134135688000.00","144.00","530313.00","96696.00","2243.51","87.54"
"Kab. Pringsewu","77659470000.00","4568921000.00","23045969000.00","105274360000.00","126.00","376172.00","60398.00","612.22","84.80"
"Kab. Mesuji","64716225000.00","4253823000.00","18447012000.00","87417060000.00","105.00","315813.00","32858.00","2184.00","99.42"
"Kab. Tulang Bawang Barat","57320085000.00","2520784000.00","14867287000.00","74708156000.00","93.00","240556.00","25995.00","1170.56","92.87"
"Kab. Pesisir Barat","71496020000.00","5986862000.00","21467695000.00","98950577000.00","116.00","146348.00","45724.00","2899.05","103.99"
"Kab. Bandung","166413150000.00","7247254000.00","85808016000.00","259468420000.00","270.00","3265262.00","232975.00","1728.72","99.00"
"Kab. Bekasi","110942100000.00","7089705000.00","78681875000.00","196713680000.00","180.00","2236930.00","233550.00","1187.39","98.66"
"Kab. Bogor","256399520000.00","17172841000.00","128495688000.00","402068049000.00","416.00","3865656.00","386233.00","2661.28","108.78"
"Kab. Ciamis","159017010000.00","3466078000.00","54802418000.00","217285506000.00","258.00","1162558.00","165428.00","1395.14","90.13"
"Kab. Cianjur","218186130000.00","19536076000.00","109082672000.00","346804878000.00","354.00","2137672.00","352504.00","3835.14","90.80"
"Kab. Cirebon","253934140000.00","11185979000.00","105122102000.00","370242221000.00","412.00","2020898.00","348524.00","969.82","100.83"
"Kab. Garut","259481245000.00","15282253000.00","118772594000.00","393536092000.00","421.00","2006807.00","398565.00","3042.29","93.12"
"Kab. Indramayu","190450605000.00","10870881000.00","109600688000.00","310922174000.00","309.00","1797806.00","367995.00","2034.36","103.07"
"Kab. Karawang","183054465000.00","20323821000.00","80330773000.00","283709059000.00","297.00","1883202.00","248582.00","1605.41","96.84"
"Kab. Kuningan","222500545000.00","3150980000.00","36650148000.00","262301673000.00","361.00","1027244.00","93673.00","1073.96","97.82"
"Kab. Majalengka","203393850000.00","9295391000.00","99796656000.00","312485897000.00","330.00","1193972.00","348963.00","1164.56","97.07"
"Kab. Purwakarta","112791135000.00","3623627000.00","25618229000.00","142032991000.00","183.00","752660.00","55237.00","805.53","103.62"
"Kab. Subang","151004525000.00","1733039000.00","32939492000.00","185677056000.00","245.00","1425498.00","65122.00","1869.93","95.17"
"Kab. Sukabumi","234827445000.00","7562352000.00","62016828000.00","304406625000.00","381.00","2433238.00","148681.00","4119.64","94.58"
"Kab. Sumedang","166413150000.00","945294000.00","25103625000.00","192462069000.00","270.00","1063148.00","44739.00","1476.85","93.10"
"Kab. Tasikmalaya","216337095000.00","12919018000.00","93330539000.00","322586652000.00","351.00","1713677.00","302096.00","2551.19","99.41"
"Kota Banjar","9861520000.00","0.00","7429792000.00","17291312000.00","16.00","100695.00","4875.00","76.06","88.04"
"Kab. Bandung Barat","101696925000.00","7404803000.00","89189633000.00","198291361000.00","165.00","1616203.00","295086.00","1305.77","90.48"
"Kab. Pangandaran","57320085000.00","1890588000.00","17459846000.00","76670519000.00","93.00","406898.00","33724.00","1010.00","89.53"
"Kab. Banjarnegara","163947770000.00","9610489000.00","49217523000.00","222775782000.00","266.00","940227.00","149951.00","1006.90","90.32"
"Kab. Banyumas","185519845000.00","6301960000.00","104054242000.00","295876047000.00","301.00","1498750.00","360578.00","1280.10","86.43"
"Kab. Batang","147306455000.00","2363235000.00","18733848000.00","168403538000.00","239.00","682936.00","31900.00","771.80","92.01"
"Kab. Blora","167029495000.00","14336959000.00","48367383000.00","229733837000.00","271.00","752805.00","146811.00","1721.80","97.04"
"Kab. Boyolali","160866045000.00","3150980000.00","28981449000.00","192998474000.00","261.00","948312.00","65696.00","990.90","93.43"
"Kab. Brebes","179972740000.00","10870881000.00","153353875000.00","344197496000.00","292.00","1831464.00","550076.00","1883.33","94.33"
"Kab. Cilacap","165796805000.00","4726470000.00","70263984000.00","240787259000.00","269.00","1590761.00","215071.00","2064.97","89.20"
"Kab. Demak","149771835000.00","14021861000.00","65771992000.00","229565688000.00","243.00","1078178.00","213320.00","882.84","96.47"
"Kab. Grobogan","168262185000.00","13234116000.00","66698930000.00","248195231000.00","273.00","1365357.00","204641.00","1976.32","97.61"
"Kab. Jepara","113407480000.00","4568921000.00","72297023000.00","190273424000.00","184.00","1110370.00","237657.00","1053.92","100.18"
"Kab. Karanganyar","99847890000.00","5199117000.00","33792430000.00","138839437000.00","162.00","796981.00","90515.00","704.38","94.30"
"Kab. Kebumen","276738905000.00","13076567000.00","60875707000.00","350691179000.00","449.00","1296523.00","189041.00","1193.59","84.78"
"Kab. Kendal","163947770000.00","8350097000.00","42792176000.00","215090043000.00","266.00","920664.00","122801.00","1091.71","93.72"
"Kab. Klaten","240990895000.00","11185979000.00","68763719000.00","320940593000.00","391.00","1256638.00","222708.00","649.96","92.96"
"Kab. Kudus","75810435000.00","3150980000.00","39004629000.00","117966044000.00","123.00","792305.00","113523.00","389.27","93.79"
"Kab. Magelang","226198615000.00","14336959000.00","84825258000.00","325360832000.00","367.00","1252453.00","287830.00","1093.28","90.19"
"Kab. Pati","247154345000.00","27255977000.00","91044219000.00","365454541000.00","401.00","1262368.00","309968.00","1486.55","96.32"
"Kab. Pekalongan","167645840000.00","14809606000.00","45387301000.00","227842747000.00","272.00","846999.00","136936.00","818.06","92.36"
"Kab. Pemalang","130048795000.00","10083136000.00","109190625000.00","249322556000.00","211.00","1298837.00","384113.00","1085.49","101.07"
"Kab. Purbalingga","138061280000.00","6459509000.00","55413473000.00","199934262000.00","224.00","889376.00","179167.00","663.22","86.70"
"Kab. Purworejo","289065805000.00","5041568000.00","31977811000.00","326085184000.00","469.00","658847.00","86578.00","1057.89","89.34"
"Kab. Rembang","176891015000.00","10870881000.00","41248234000.00","229010130000.00","287.00","608403.00","124673.00","884.20","97.62"
"Kab. Semarang","128199760000.00","1575490000.00","27309518000.00","157084768000.00","208.00","806244.00","60940.00","881.20","101.72"
"Kab. Sragen","120803620000.00","1890588000.00","23454115000.00","146148323000.00","196.00","879866.00","45946.00","904.02","90.29"
"Kab. Sukoharjo","92451750000.00","3781176000.00","29843330000.00","126076256000.00","150.00","769172.00","76564.00","437.25","92.51"
"Kab. Tegal","173192945000.00","12131273000.00","97378945000.00","282703163000.00","281.00","1403999.00","336715.00","867.18","88.85"
"Kab. Temanggung","163947770000.00","8192548000.00","40902293000.00","213042611000.00","266.00","674446.00","123140.00","808.73","92.37"
"Kab. Wonogiri","154702595000.00","4253823000.00","37231715000.00","196188133000.00","251.00","898806.00","98864.00","1546.99","92.80"
"Kab. Wonosobo","145457420000.00","4726470000.00","34230758000.00","184414648000.00","236.00","706560.00","94849.00","902.62","90.74"
"Kab. Bantul","46225875000.00","0.00","32850230000.00","79076105000.00","75.00","931356.00","83798.00","508.13","94.45"
"Kab. Gunung Kidul","88753680000.00","2048137000.00","26772703000.00","117574520000.00","144.00","755977.00","59607.00","1431.42","94.78"
"Kab. Kulon Progo","53622015000.00","1733039000.00","21325756000.00","76680810000.00","87.00","431425.00","50298.00","581.99","91.24"
"Kab. Sleman","53005670000.00","315098000.00","27866930000.00","81187698000.00","86.00","1062861.00","60744.00","574.82","89.55"
"Kab. Bangkalan","168262185000.00","21584213000.00","80797539000.00","270643937000.00","273.00","981771.00","277151.00","980.89","97.27"
"Kab. Banyuwangi","116489205000.00","1260392000.00","49957816000.00","167707413000.00","189.00","1491695.00","118493.00","5487.00","95.34"
"Kab. Blitar","135595900000.00","1260392000.00","26248717000.00","163105009000.00","220.00","1056427.00","49661.00","1234.85","96.85"
"Kab. Bojonegoro","258248555000.00","5671764000.00","52444148000.00","316364467000.00","419.00","1260926.00","147985.00","2182.09","97.35"
"Kab. Bondowoso","128816105000.00","8350097000.00","59983637000.00","197149839000.00","209.00","715462.00","198270.00","1501.96","90.31"
"Kab. Gresik","203393850000.00","6617058000.00","36891367000.00","246902275000.00","330.00","1139887.00","90676.00","1169.37","100.05"
"Kab. Jember","139293970000.00","6617058000.00","90271305000.00","236182333000.00","226.00","2290884.00","272391.00","2980.76","98.85"
"Kab. Jombang","186136190000.00","8034999000.00","44269793000.00","238440982000.00","302.00","1273741.00","119518.00","1110.12","93.00"
"Kab. Kediri","211406335000.00","6774607000.00","52510965000.00","270691907000.00","343.00","1553267.00","144755.00","1383.71","93.24"
"Kab. Lamongan","284751390000.00","3308529000.00","33289836000.00","321349755000.00","462.00","1271266.00","69030.00","1753.34","103.52"
"Kab. Lumajang","122036310000.00","6144411000.00","35547672000.00","163728393000.00","198.00","1040811.00","84773.00","1771.32","102.21"
"Kab. Madiun","122036310000.00","157549000.00","19962449000.00","142156308000.00","198.00","692818.00","33571.00","1019.48","100.17"
"Kab. Magetan","127583415000.00","787745000.00","19577191000.00","147948351000.00","207.00","588784.00","36138.00","625.59","101.17"
"Kab. Malang","232978410000.00","5199117000.00","76037781000.00","314215308000.00","378.00","2329069.00","212174.00","3457.62","97.29"
"Kab. Mojokerto","184287155000.00","1102843000.00","23145752000.00","208535750000.00","299.00","1094566.00","38483.00","717.39","94.94"
"Kab. Nganjuk","162715080000.00","6459509000.00","66179141000.00","235353730000.00","264.00","990694.00","217096.00","1178.37","92.72"
"Kab. Ngawi","131281485000.00","4096274000.00","32438090000.00","167815849000.00","213.00","881684.00","77860.00","1290.00","103.61"
"Kab. Pacitan","102313270000.00","472647000.00","22866619000.00","125652536000.00","166.00","555972.00","48165.00","1373.86","98.53"
"Kab. Pamekasan","109709410000.00","4726470000.00","48432012000.00","162867892000.00","178.00","737424.00","149959.00","775.98","102.54"
"Kab. Pasuruan","210173645000.00","13549214000.00","77543648000.00","301266507000.00","341.00","1424953.00","250231.00","1404.87","96.84"
"Kab. Ponorogo","173192945000.00","4568921000.00","38851469000.00","216613335000.00","281.00","838566.00","106488.00","1266.10","99.84"
"Kab. Probolinggo","200312125000.00","13549214000.00","108239539000.00","322100878000.00","325.00","1081459.00","384353.00","1684.01","98.04"
"Kab. Sampang","110942100000.00","5199117000.00","63065418000.00","179206635000.00","180.00","801989.00","206493.00","1218.80","103.13"
"Kab. Sidoarjo","198463090000.00","7877450000.00","45914984000.00","252255524000.00","322.00","1617074.00","116557.00","576.62","103.52"
"Kab. Situbondo","81357540000.00","4568921000.00","29203924000.00","115130385000.00","132.00","624598.00","73169.00","1647.91","91.22"
"Kab. Sumenep","203393850000.00","13234116000.00","61738410000.00","278366376000.00","330.00","1109604.00","190046.00","2015.79","101.01"
"Kab. Trenggalek","93684440000.00","3308529000.00","30613311000.00","127606280000.00","152.00","706461.00","77664.00","1132.09","95.99"
"Kab. Tuban","191683295000.00","4096274000.00","31170844000.00","226950413000.00","311.00","1089442.00","67091.00","1807.47","95.27"
"Kab. Tulungagung","158400665000.00","6301960000.00","41249703000.00","205952328000.00","257.00","1031364.00","112673.00","1039.81","97.68"
"Kota Batu","11710555000.00","0.00","9636939000.00","21347494000.00","19.00","141418.00","10218.00","125.59","97.53"
"Kab. Bengkayang","75194090000.00","787745000.00","16418402000.00","92400237000.00","122.00","262552.00","11545.00","5048.62","109.58"
"Kab. Landak","96149820000.00","22056860000.00","35951910000.00","154158590000.00","156.00","396072.00","72237.00","8915.10","110.53"
"Kab. Kapuas Hulu","171343910000.00","7404803000.00","50185004000.00","228933717000.00","278.00","214928.00","46872.00","29790.65","122.27"
"Kab. Ketapang","155935285000.00","8192548000.00","53165547000.00","217293380000.00","253.00","494154.00","49367.00","31067.61","110.76"
"Kab. Mempawah","36980700000.00","1733039000.00","16519252000.00","55232991000.00","60.00","247146.00","21737.00","2625.32","111.89"
"Kab. Sambas","118954585000.00","13391665000.00","40497988000.00","172844238000.00","193.00","631865.00","91205.00","6843.05","118.03"
"Kab. Sanggau","100464235000.00","2835882000.00","25483781000.00","128783898000.00","163.00","443955.00","12939.00","12494.97","111.34"
"Kab. Sintang","240374550000.00","13234116000.00","41265176000.00","294873842000.00","390.00","350877.00","71165.00","15254.29","103.18"
"Kab. Sekadau","53622015000.00","315098000.00","15138937000.00","69076050000.00","87.00","208791.00","7183.00","5444.20","105.36"
"Kab. Melawi","104162305000.00","2205686000.00","24540963000.00","130908954000.00","169.00","228787.00","22839.00","10640.80","109.84"
"Kab. Kayong Utara","26502835000.00","315098000.00","13038675000.00","39856608000.00","43.00","122311.00","4146.00","4568.26","106.57"
"Kab. Kubu Raya","72112365000.00","8350097000.00","31036285000.00","111498747000.00","117.00","601356.00","55116.00","6946.58","108.46"
"Kab. Barito Selatan","53005670000.00","1260392000.00","16281681000.00","70547743000.00","86.00","76986.00","9127.00","7432.57","98.09"
"Kab. Barito Utara","57320085000.00","1417941000.00","17577953000.00","76315979000.00","93.00","87286.00","14165.00","7427.18","98.26"
