"Daerah","Alokasi Dasar","Alokasi Afirmasi","Alokasi Formula","Total Alokasi","Jumlah Desa","Jumlah Penduduk","Jumlah Penduduk Miskin","Luas Wilayah","IKK"
"Kab. Aceh Barat","198463090000.00","1417941000.00","21046564000.00","220927595000.00","322.00","189119.00","44507.00","2939.39","96.89"
"Kab. Aceh Besar","372272380000.00","472647000.00","21425674000.00","394170701000.00","604.00","384661.00","40930.00","2965.27","96.05"
"Kab. Aceh Selatan","159633355000.00","2993431000.00","18360090000.00","180986876000.00","259.00","230103.00","28698.00","3822.58","96.97"
"Kab. Aceh Singkil","71496020000.00","4253823000.00","15644501000.00","91394344000.00","116.00","129963.00","28265.00","2115.16","92.93"
"Kab. Aceh Tengah","181821775000.00","0.00","16104771000.00","197926546000.00","295.00","208407.00","16497.00","4318.39","102.64"
"Kab. Aceh Tenggara","237292825000.00","0.00","14945779000.00","252238604000.00","385.00","221684.00","13129.00","4223.37","97.33"
"Kab. Aceh Timur","316184985000.00","945294000.00","27989146000.00","345119425000.00","513.00","422261.00","52574.00","6277.07","98.98"
"Kab. Aceh Utara","525125940000.00","3938725000.00","33169918000.00","562234583000.00","852.00","575895.00","81700.00","3241.75","101.12"
"Kab. Bireuen","375354105000.00","6301960000.00","35062789000.00","416718854000.00","609.00","432870.00","99002.00","1901.20","100.49"
"Kab. Pidie","449931850000.00","8350097000.00","40561066000.00","498843013000.00","730.00","437740.00","118749.00","2972.65","94.10"
"Kab. Simeulue","85055610000.00","1890588000.00","15078344000.00","102024542000.00","138.00","89327.00","23951.00","2051.48","105.87"
"Kota Banda Aceh","55471050000.00","0.00","8993616000.00","64464666000.00","90.00","238814.00","5738.00","61.36","95.52"
"Kota Sabang","11094210000.00","157549000.00","8276063000.00","19527822000.00","18.00","40040.00","5618.00","153.00","103.76"
"Kota Langsa","40678770000.00","157549000.00","12623414000.00","53459733000.00","66.00","182424.00","21509.00","262.41","94.97"
"Kota Lhokseumawe","41911460000.00","472647000.00","11718392000.00","54102499000.00","68.00","190624.00","17261.00","181.06","97.44"
"Kab. Gayo Lues","83822920000.00","1102843000.00","16283372000.00","101209135000.00","136.00","95370.00","19221.00","5267.00","91.57"
"Kab. Aceh Barat Daya","93684440000.00","315098000.00","11354687000.00","105354225000.00","152.00","149397.00","12729.00","1371.28","94.53"
"Kab. Aceh Jaya","106011340000.00","0.00","11799648000.00","117810988000.00","172.00","86058.00","5878.00","3812.99","95.88"
"Kab. Nagan Raya","136828590000.00","3781176000.00","18313055000.00","158922821000.00","222.00","167672.00","32112.00","3363.72","96.79"
"Kab. Aceh Tamiang","131281485000.00","2048137000.00","16758691000.00","150088313000.00","213.00","287733.00","31297.00","1958.69","85.03"
"Kab. Bener Meriah","142992040000.00","630196000.00","13438513000.00","157060749000.00","232.00","154509.00","19629.00","1455.81","99.16"
"Kab. Pidie Jaya","136828590000.00","945294000.00","13380825000.00","151154709000.00","222.00","157588.00","23848.00","1074.53","87.63"
"Kota Subulussalam","50540290000.00","1575490000.00","11550671000.00","63666451000.00","82.00","81187.00","15342.00","1391.00","94.31"
"Kab. Asahan","109093065000.00","630196000.00","16889545000.00","126612806000.00","177.00","605848.00","11859.00","3611.92","103.05"
"Kab. Dairi","99231545000.00","315098000.00","12384837000.00","111931480000.00","161.00","278228.00","8816.00","1825.90","105.50"
"Kab. Deli Serdang","234211100000.00","3938725000.00","33577285000.00","271727110000.00","380.00","1667650.00","58525.00","2235.40","99.91"
"Kab. Karo","159633355000.00","157549000.00","13241456000.00","173032360000.00","259.00","328520.00","10263.00","2107.56","103.84"
"Kab. Labuhanbatu","46225875000.00","1417941000.00","12675338000.00","60319154000.00","75.00","302847.00","11584.00","1877.22","96.02"
"Kab. Langkat","147922800000.00","3623627000.00","27640828000.00","179187255000.00","240.00","794666.00","46541.00","5802.28","85.62"
"Kab. Mandailing Natal","232362065000.00","945294000.00","19812637000.00","253119996000.00","377.00","388287.00","19857.00","6089.76","101.85"
"Kab. Nias","104778650000.00","19220978000.00","25540619000.00","149540247000.00","170.00","152774.00","64778.00","1842.51","111.29"
"Kab. Simalungun","237909170000.00","157549000.00","21175895000.00","259242614000.00","386.00","876811.00","19635.00","4056.91","106.03"
"Kab. Tapanuli Selatan","130048795000.00","157549000.00","15660990000.00","145867334000.00","211.00","206050.00","11337.00","4901.47","106.52"
"Kab. Tapanuli Tengah","97998855000.00","5671764000.00","18058928000.00","121729547000.00","159.00","190541.00","36038.00","1806.92","99.94"
"Kab. Tapanuli Utara","148539145000.00","630196000.00","15002417000.00","164171758000.00","241.00","281645.00","25890.67","406.24","103.34"
"Kab. Toba Samosir","142375695000.00","0.00","11935494000.00","154311189000.00","231.00","179159.00","9183.00","2279.70","99.98"
"Kota Padang Sidempuan","25886490000.00","0.00","7776066000.00","33662556000.00","42.00","56833.00","3863.00","98.76","101.70"
"Kab. Pakpak Bharat","32049940000.00","0.00","8899043000.00","40948983000.00","52.00","50445.00","4974.00","1218.30","98.14"
