,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
31,Kab. Langkat,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,58",-,"61,14","60,25","62,41","69,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
32,Kab. Mandailing Natal,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"66,59",-,"44,26","45,08","57,61","55,30",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
33,Kab. Nias,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,18",-,"58,50","45,63","71,07","48,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
34,Kab. Simalungun,-,TMP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,24",-,"74,11","41,58","58,19","58,57",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
35,Kab. Tapanuli Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,35",-,"61,78","64,12","59,61","82,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
36,Kab. Tapanuli Tengah,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"54,89",-,"53,84","78,92","61,77","60,65",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
37,Kab. Tapanuli Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,18",-,"52,56","65,66","65,96","58,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
38,Kab. Toba Samosir,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"51,18",-,"58,74","65,93","71,45","53,53",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
39,Kota Binjai,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,84",-,"61,87","66,03","43,39","57,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
40,Kota Medan,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"64,09",-,"82,77","78,20","65,00","73,15",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
41,Kota Pematang Siantar,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,73",-,"75,08","82,36","59,46","56,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
42,Kota Sibolga,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"58,50",-,"38,60","57,24","61,81","34,48",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
43,Kota Tanjung Balai,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"45,33",-,"67,49","43,37","40,87","40,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
44,Kota Tebing Tinggi,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"63,42",-,"56,51","37,24","60,60","44,54",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
45,Kota Padang Sidempuan,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,46",-,"46,24","60,44","59,45","54,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
46,Kab. Pakpak Bharat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,56",-,"44,23","79,07","58,46","62,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
47,Kab. Nias Selatan,-,TMP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"52,72",-,"26,66","47,58","55,04","60,92",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
48,Kab. Humbang Hasundutan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,04",-,"54,12","63,38","66,59","63,24",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
49,Kab. Serdang Bedagai,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"48,01",-,"54,71","49,74","60,21","70,67",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
50,Kab. Samosir,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"55,88",-,"71,20","49,24","64,17","61,28",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
51,Kab. Batu Bara,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"55,51",-,"60,74","73,97","61,86","55,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
52,Kab. Padang Lawas,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"57,95",-,"44,67","48,33","63,24","63,48",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
53,Kab. Padang Lawas Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"67,48",-,"53,61","65,89","58,69","56,96",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
54,Kab. Labuhanbatu Selatan,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"57,02",-,"70,69","54,47","71,35","51,12",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
55,Kab. Labuhanbatu Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"52,34",-,"39,86","66,79","61,29","57,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
56,Kab. Nias Utara,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"65,09",-,"43,48","59,24","59,43","54,88",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
57,Kab. Nias Barat,-,TMP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"66,74",-,"55,36","63,12","66,31","61,77",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
58,Kota Gunungsitoli                                 ,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"45,77",-,"42,33","56,84","57,82","57,94",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
59,Provinsi Sumatera Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"44,11",-,"50,84","58,05","58,65","54,99",-,"70,00",Tidak,Tidak,Tidak,Tidak,"72,92"
60,Kab. Limapuluh Kota,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,20",-,"66,54","84,73","75,62","65,50",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
61,Kab. Agam  ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"66,20",-,"76,06","64,88","77,36","78,83",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
62,Kab. Kepulauan Mentawai,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,99",-,"58,20","77,03","74,17","75,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
63,Kab. Padang Pariaman    ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"68,66",-,"55,46","55,96","73,88","71,06",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
64,Kab. Pasaman    ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"56,93",-,"65,41","58,26","67,81","63,64",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
65,Kab. Pesisir Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"63,21",-,"64,71","72,08","71,88","58,89",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
66,Kab. Sijunjung                                    ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"52,10",-,"63,22","46,33","60,38","76,93",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
67,Kab. Solok,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"57,93",-,"50,43","56,31","70,98","63,97",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
68,Kab. Tanah Datar,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,57",-,"62,03","68,79","72,54","60,97",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
69,Kota Bukit Tinggi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,45",-,"79,90","60,13","57,43","83,42",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
70,Kota Padang Panjang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"63,27",-,"67,42","63,84","75,56","79,42",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
71,Kota Padang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"74,98",-,"49,76","62,60","63,77","67,33",-,"70,00",Tidak,"74,30",Tidak,Tidak,"70,46"
72,Kota Payakumbuh,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"71,59",-,"76,96","52,70","61,77","74,49",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,26"
73,Kota Sawahlunto,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,79",-,"64,16","64,14","68,80","71,34",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
74,Kota Solok,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"41,82",-,"62,78","62,61","65,63","70,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
75,Kota Pariaman,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"64,41",-,"60,08","65,54","62,54","54,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
76,Kab. Pasaman Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,26",-,"38,10","58,53","71,95","70,84",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
77,Kab. Dharmasraya,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,23",-,"60,55","73,54","72,15","72,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
78,Kab. Solok Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"70,80",-,"58,95","76,74","74,42","58,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
79,Provinsi Riau,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,07",-,"47,27","50,21","67,70","60,94",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
80,Kab. Bengkalis,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"76,91",-,"60,18","67,02","60,94","54,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
81,Kab. Indragiri Hilir,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,60",-,"50,01","67,66","60,60","82,77",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
82,Kab. Indragiri Hulu,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"70,62",-,"59,99","39,11","61,05","59,50",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
83,Kab. Kampar,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"66,95",-,"63,32","57,75","58,76","79,07",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
84,Kab. Kuantan Singingi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"64,09",-,"72,27","64,00","52,83","70,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
85,Kab. Pelalawan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,02",-,"51,00","72,71","60,84","70,75",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
86,Kab. Rokan Hilir,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"72,19",-,"58,90","60,92","66,31","58,42",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
87,Kab. Rokan Hulu,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,84",-,"47,88","46,01","66,64","75,73",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
88,Kab. Siak,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"72,04",-,"73,41","69,17","57,07","62,10",-,Tidak,"88,21",Tidak,Tidak,Tidak,Tidak
89,Kota Dumai,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,82",-,"56,19","38,99","64,16","71,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
90,Kota Pekanbaru,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,70",-,"65,85","47,73","60,79","61,20",-,Tidak,"86,83",Tidak,Tidak,Tidak,Tidak
91,Kab. Kepulauan Meranti,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,38",-,"44,78","67,90","65,36","75,55",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
92,Provinsi Jambi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"78,33",-,"58,11","67,24","45,40","58,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
93,Kab. Batang Hari,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"64,11",-,"68,35","60,75","54,98","69,94",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
94,Kab. Bungo     ,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"67,73",-,"69,39","79,76","64,06","60,21",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
95,Kab. Kerinci,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,86",-,"61,15","56,42","79,40","53,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
96,Kab. Merangin,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,26",-,"65,28","73,85","73,70","76,45",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
97,Kab. Muaro Jambi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"69,14",-,"42,38","71,68","68,13","54,29",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
98,Kab. Sarolangun,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,54",-,"67,91","57,33","66,84","64,62",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
99,Kab. Tanjung Jabung Barat,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"58,20",-,"69,65","57,11","60,67","68,09",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
100,Kab. Tanjung Jabung Timur,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,80",-,"56,11","73,68","59,49","65,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
101,Kab. Tebo,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"63,27",-,"49,78","64,93","65,44","59,23",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
102,Kota Jambi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,40",-,"76,69","64,02","48,11","63,62",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
103,Kota Sungai Penuh,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"55,92",-,"73,70","68,47","77,63","73,37",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
104,Provinsi Sumatera Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"73,71",-,"58,41","70,46","68,39","70,52",-,Tidak,Tidak,Tidak,Tidak,"72,20","80,01"
105,Kab. Lahat,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"64,34",-,"50,44","71,18","69,35","71,14",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
106,Kab. Musi Banyuasin,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,75",-,"57,68","55,72","69,61","71,44",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
107,Kab. Musi Rawas,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"56,47",-,"48,63","64,71","59,98","59,70",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
108,Kab. Muara Enim,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,51",-,"58,24","81,70","60,02","80,14",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,02"
109,Kab. Ogan Komering Ilir,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,51",-,"70,83","79,80","66,45","71,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
110,Kab. Ogan Komering Ulu,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"69,99",-,"58,36","65,41","64,19","80,58",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
111,Kota Palembang ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"73,36",-,"89,16","81,66","53,63","73,77",-,Tidak,Tidak,Tidak,Tidak,"73,60",Tidak
112,Kota Prabumulih,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"57,12",-,"73,31","66,97","65,89","44,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
113,Kota Pagar Alam,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"45,24",-,"37,38","56,65","55,18","71,33",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
114,Kota Lubuk Linggau,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,62",-,"50,82","80,57","48,82","55,41",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
115,Kab. Banyuasin,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"50,13",-,"74,78","59,73","72,50","80,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
116,Kab. Ogan Ilir,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"52,30",-,"47,40","68,48","65,26","53,99",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
117,Kab. OKU Timur,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"57,97",-,"62,64","54,21","79,96","69,05",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
118,Kab. OKU Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,19",-,"54,97","69,23","57,69","54,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
119,Kab. Empat Lawang,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"50,55",-,"63,82","48,65","68,28","54,03",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
120,Kab. Penukal Abab Lematang Ilir,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"73,07",-,"67,37","77,68","60,37","64,53",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
121,Kab. Musi Rawas Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"56,30",-,"41,73","66,36","66,40","61,82",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
122,Provinsi  Bengkulu,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"51,83",-,"48,41","51,41","71,54","68,41",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
123,Kab. Bengkulu Selatan,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"56,23",-,"54,73","59,00","71,29","63,54",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
124,Kab. Bengkulu Utara,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"45,45",-,"51,89","55,56","61,09","67,76",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
125,Kab. Rejang Lebong,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"51,64",-,"64,83","79,65","71,48","65,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
126,Kota Bengkulu,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"67,33",-,"79,27","57,41","69,41","73,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
127,Kab. Kaur,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"53,22",-,"29,88","68,06","74,85","61,55",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
128,Kab. Seluma,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,14",-,"36,41","84,09","71,70","80,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
129,Kab. Mukomuko,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,10",-,"55,75","50,24","78,46","74,23",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
130,Kab. Lebong,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"47,24",-,"42,15","50,80","68,59","61,40",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
131,Kab. Kepahiang,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"57,59",-,"38,49","51,12","73,33","59,26",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
132,Kab. Bengkulu Tengah,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"52,67",-,"71,21","49,35","64,61","63,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
133,Provinsi  Lampung,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"71,08",-,"50,86","50,16","61,99","69,27",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
134,Kab. Lampung Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,43",-,"74,80","53,45","72,72","78,74",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
135,Kab. Lampung Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,16",-,"69,47","64,52","74,78","78,64",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
136,Kab. Lampung Tengah,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"57,98",-,"42,24","52,12","64,74","74,66",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
137,Kab. Lampung Utara,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"58,81",-,"50,16","56,60","70,12","74,63",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
138,Kab. Lampung Timur,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"50,65",-,"53,66","67,82","74,33","65,93",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
139,Kab. Tanggamus,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,29",-,"49,79","62,55","56,87","72,63",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
140,Kab. Tulang Bawang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,09",-,"58,44","70,10","65,06","56,75",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
141,Kab. Way Kanan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,28",-,"43,84","48,79","66,87","66,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
142,Kota Bandar Lampung,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,32",-,"53,59","49,46","63,00","67,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
143,Kota Metro,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,39",-,"67,38","60,67","74,57","67,72",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
144,Kab. Pesawaran,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,51",-,"56,75","48,39","67,00","82,95",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
145,Kab. Pringsewu,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"64,32",-,"48,49","62,98","55,06","62,97",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
146,Kab. Mesuji,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"52,86",-,"45,53","62,86","65,27","80,84",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
147,Kab. Tulang Bawang Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,51",-,"57,91","48,80","66,28","81,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
148,Kab. Pesisir Barat,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"59,03",-,"55,44","59,33","60,16","69,96",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
149,Provinsi DKI Jakarta,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"64,48",-,"45,15","53,30","74,26","62,50",-,"90,00","87,12","73,50",Tidak,Tidak,Tidak
150,Provinsi Jawa Barat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"57,94",-,"76,65","56,17","52,76","71,15",-,Tidak,Tidak,Tidak,"81,24",Tidak,"80,96"
151,Kab. Bandung,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,91",-,"78,60","44,44","55,44","66,43",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
152,Kab. Bekasi,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"51,44",-,"77,45","63,56","48,59","75,00",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
153,Kab. Bogor,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"71,13",-,"73,15","61,65","48,16","83,60",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
