,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
487,Kab. Serang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,16",-,"72,42","58,22","68,39","59,36",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,01"
488,Kab. Tangerang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"66,28",-,"82,56","57,97","65,09","61,35",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
489,Kota Cilegon,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,05",-,"65,38","71,90","65,79","52,18",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
490,Kota Tangerang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"71,92",-,"69,15","51,67","67,52","55,79",-,Tidak,Tidak,Tidak,"85,05",Tidak,Tidak
491,Kota Serang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,98",-,"61,06","53,51","60,81","48,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
492,Kota Tangerang Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"76,94",-,"52,11","57,10","57,61","76,11",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
493,Provinsi  Bangka Belitung,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"67,98",-,"76,16","53,35","57,66","55,25",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
494,Kab. Bangka,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"67,31",-,"75,19","74,16","72,54","80,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
495,Kab. Belitung,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"66,49",-,"76,04","65,71","65,07","59,90",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
496,Kota Pangkal Pinang ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,68",-,"69,55","45,31","52,87","62,04",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
497,Kab. Bangka Selatan,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"66,97",-,"69,71","56,07","74,25","59,52",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
498,Kab. Bangka Tengah,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"59,35",-,"50,70","60,69","70,70","53,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
499,Kab. Bangka Barat,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"44,16",-,"85,49","74,05","65,02","55,17",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
500,Kab. Belitung Timur,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,31",-,"64,79","58,64","68,62","59,85",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
501,Provinsi Gorontalo,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,70",-,"53,22","74,43","59,54","57,39",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
502,Kab. Boalemo,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,18",-,"54,37","61,20","57,55","54,63",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
503,Kab. Gorontalo,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"61,24",-,"60,45","68,63","63,03","74,49",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
504,Kota Gorontalo,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,41",-,"65,01","51,78","57,46","72,68",-,Tidak,Tidak,Tidak,"85,49",Tidak,Tidak
505,Kab. Pohuwato,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"47,97",-,"79,31","72,00","73,47","54,82",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
506,Kab. Bone Bolango,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"58,98",-,"57,19","81,89","76,35","65,08",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,01"
507,Kab. Gorontalo Utara,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"62,04",-,"68,12","78,71","48,96","49,63",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
508,Provinsi Kepulauan Riau                           ,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"65,48",-,"73,68","74,71","64,91","53,41",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,13"
509,Kab. Natuna,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"52,95",-,"60,73","72,03","62,65","55,80",-,Tidak,Tidak,Tidak,Tidak,Tidak,"70,02"
510,Kab. Kepulauan Anambas,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"46,21",-,"31,53","56,19","48,99","64,93",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
511,Kab. Karimun,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"55,51",-,"72,06","77,28","58,82","59,81",-,Tidak,Tidak,Tidak,Tidak,Tidak,"72,06"
512,Kota Batam,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,76",-,"75,95","69,26","74,30","65,79",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
513,Kota Tanjung Pinang,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"56,42",-,"73,17","75,50","67,08","52,00",-,Tidak,Tidak,Tidak,Tidak,Tidak,"77,39"
514,Kab. Lingga,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"54,76",-,"36,66","66,17","65,96","84,09",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
515,Kab. Bintan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"53,25",-,"78,68","71,82","74,55","74,35",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
516,Provinsi Papua Barat,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"53,72",-,"62,79","33,01","33,00","57,29",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
517,Kab. Fak Fak,-,WTP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"66,82",-,"66,34","50,23","62,28","65,51",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
518,Kab. Manokwari,-,WDP,Terlambat,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"61,66",-,"75,48","35,55","46,95","62,32",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
519,Kab. Sorong,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"60,42",-,"68,99","66,87","55,38","66,39",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
520,Kota Sorong,-,WDP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Tidak Memenuhi,-,"55,63",-,"67,99","42,05","40,11","47,31",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521,Kab. Raja Ampat,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"50,40",-,"56,79","73,84","56,24","67,39",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
522,Kab. Sorong Selatan,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"57,41",-,"53,85","63,28","63,04","72,86",-,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
523,Kab. Teluk Bintuni,-,WTP,Tepat Waktu,e-proc,e-budgeting,Tersedia,Memenuhi,-,"74,73",-,"51,05","72,07","58,72","52,55",-,"70,00",Tidak,Tidak,Tidak,Tidak,Tidak
