,Kode Daerah,Daerah,Belanja Pegawai,Penduduk,Luas Daratan,Luas Lautan,Total Luas Wilayah,IKK,IPM,PDRB per kapita,PAD,DBH Pajak,DBH SDA,Alokasi DAU
420,2413,Kab. Timor Tengah Utara,304452140940.00,267477.00,2669.70,307.67,2977.37,84.90,63.34,14938042.68,58749871979.96,6447858903.00,1818636522.00,573028403000.00
421,2414,Kota Kupang,322831389630.00,441102.00,26.18,79.71,105.89,99.81,79.55,54800524.88,185051575342.52,16798299265.00,797564943.00,630095340000.00
422,2415,Kab. Rote Ndao,181937384002.00,148506.00,1280.00,2320.18,3600.18,101.18,62.22,20869941.01,31479192075.12,5941622401.00,811449507.00,433508165000.00
423,2416,Kab. Manggarai Barat,228071874824.00,263562.00,2397.03,3300.55,5697.58,96.82,63.50,12963448.11,169954164787.19,6520392952.00,797832847.00,511595143000.00
424,2417,Kab. Nagekeo,192886880316.00,165154.00,1416.96,630.59,2047.55,92.02,65.88,13359230.28,31068286543.57,5710967403.00,857261166.00,420696362000.00
425,2418,Kab. Sumba Barat Daya                             ,191249735806.00,314062.00,1480.46,734.46,2214.92,102.60,62.60,11827001.89,48800716477.85,6184253151.00,838391960.00,471771211000.00
426,2419,Kab. Sumba Tengah                                 ,115747923174.00,88182.00,1868.74,553.13,2421.87,101.95,61.01,12842232.36,30456136062.28,5526436974.00,833537467.00,340884066000.00
427,2420,Kab. Manggarai Timur,227700046642.00,270492.00,2642.93,707.45,3350.38,102.76,60.47,11571943.94,54434713623.57,7003673368.00,869073903.00,502780135000.00
428,2421,Kab. Sabu Raijua,98353093996.00,94546.00,460.54,1370.95,1831.49,117.51,56.66,14677634.99,31937211458.10,5196565393.00,1039651751.00,348032496000.00
429,2422,Kab. Malaka,191518226876.00,194864.00,1160.63,380.74,1541.37,85.65,60.34,13903734.68,49196959327.65,5825652671.00,801015771.00,436323453000.00
430,2500,Provinsi Maluku,614535962348.00,1864335.00,46914.03,148943.12,195857.15,124.38,69.45,23081501.68,482805590255.76,28491274819.00,8138480624.00,1574799396000.00
431,2501,Kab. Kepulauan Tanimbar,194332315876.00,127744.00,4465.79,7548.37,12014.16,131.16,62.86,20554387.28,33031787488.70,8190303959.00,2034731840.00,541981957000.00
432,2502,Kab. Maluku Tengah,498334940732.00,427548.00,7953.81,7058.81,15012.62,115.29,71.25,17936719.37,73926962286.01,13135290369.00,3043491391.00,906685148000.00
433,2503,Kab. Maluku Tenggara,187113559138.00,127843.00,1031.81,3184.63,4216.44,128.79,65.85,24910416.66,56518085796.23,6950838105.00,1531430980.00,468052631000.00
434,2504,Kab. Buru                                         ,223646381298.00,136522.00,4932.32,1460.56,6392.88,131.47,68.91,14921150.39,28040093771.47,7704379397.00,2788676077.00,492060817000.00
435,2505,Kota Ambon,318014104472.00,350715.00,298.61,411.51,710.12,110.20,80.81,40824665.15,162761891568.30,15730035885.00,2127397793.00,641757645000.00
436,2506,Kab. Seram Bagian Barat,277185333914.00,211714.00,5033.38,3978.16,9011.54,111.88,65.49,13225353.79,28635819084.80,7224095723.00,4648012996.00,578985055000.00
437,2507,Kab. Seram Bagian Timur,181331709744.00,136075.00,6429.88,5636.44,12066.32,115.33,63.74,15500815.44,26425725665.47,26724721986.00,2680511115.00,517469109000.00
438,2508,Kab. Kepulauan Aru,168966390858.00,106057.00,8152.42,8201.12,16353.54,130.73,63.64,31711798.53,61725918479.68,8176115531.00,2162511988.00,572566656000.00
439,2509,Kota Tual,102832304374.00,88812.00,254.39,2648.72,2903.11,132.56,67.74,27239065.52,20733993813.76,5532579592.00,2127397793.00,375667302000.00
